no,subjectno_
1,753004
2,740008
3,930005
4,778043
5,161003
6,286015
7,220029
8,66010
9,227016
10,792027
11,40001
12,798002
13,775030
14,771009
15,538020
16,634005
17,776010
18,603012
19,841017
20,843003
21,747008
22,856011
23,767005
24,795002
25,885003
26,836001
27,870017
28,122003
29,771009
30,796010
31,117003
32,165013
33,122012
34,182025
35,794035
36,861013
37,782018
38,858004
39,887007
40,121007
41,873001
42,771010
43,294019
44,165021
45,554018
46,13001
47,229008
48,634003
49,500024
50,31002
51,40001
52,796002
53,866014
54,764003
55,859006
56,775003
57,45012
58,887001
59,552008
60,930018
61,820002
62,631038
63,842006
64,529011
65,837007
66,12001
67,832007
68,777008
69,508002
70,861006
71,744009
72,114007
73,227017
74,820007
75,796005
76,40003
77,774038
78,532020
79,798003
80,842007
81,769004
82,123008
83,299047
84,659001
85,857012
86,811006
87,853002
88,753007
89,821004
90,854018
91,874010
92,787018
93,822003
94,227026
95,831002
96,95008
97,773020
98,659021
99,768001
100,517041
101,127004
102,756002
103,773003
104,779008
105,743009
106,791014
107,659002
108,856008
109,132014
110,569003
111,753005
112,773006
113,887012
114,828008
115,517038
116,859002
117,882007
118,816020
119,718006
120,720005
121,828004
122,557001
123,867017
124,854001
125,4024
126,930014
127,770015
128,23036
129,850018
130,134004
131,117009
132,821014
133,182001
134,798003
135,702007
136,11034
137,702019
138,783016
139,777024
140,538002
141,27009
142,134021
143,794033
144,201006
145,122031
146,767002
147,554008
148,773020
149,538038
150,841018
151,769018
152,114010
153,631029
154,165023
155,659012
156,784009
157,44013
158,819010
159,299058
160,554018
161,529020
162,781019
163,778012
164,747008
165,508027
166,875004
167,781002
168,821001
169,502012
170,220002
171,799015
172,40006
173,769011
174,852020
175,201005
176,783002
177,633014
178,134029
179,836014
180,99011
181,232010
182,524011
183,44028
184,552035
185,659022
186,15023
187,774047
188,838011
189,500012
190,861013
191,502033
192,863009
193,740003
194,816015
195,857018
196,134005
197,215002
198,117009
199,776036
200,851021
201,40006
202,11034
203,782018
204,167004
205,870002
206,180002
207,569008
208,812003
209,782006
210,824017
211,822003
212,633007
213,744001
