no,subjectno_
1,853008
2,875001
3,872005
4,100011
5,853006
6,3010
7,805002
8,812005
9,114012
10,114016
11,842006
12,842004
13,811008
14,838004
15,773016
16,243008
17,769001
18,215015
19,857004
20,66001
21,537009
22,828005
23,823014
24,111001
25,872001
26,849009
27,792004
28,863029
29,838004
30,662030
31,844017
32,747014
33,99002
34,634002
35,832005
36,756002
37,870016
38,787003
39,856007
40,861005
41,853004
42,775012
43,42001
44,569001
45,771008
46,816020
47,569003
48,137021
49,805012
50,662030
51,885021
52,864002
53,798011
54,885014
55,220002
56,811002
57,874003
58,844017
59,95002
60,502004
61,253002
62,659002
63,876003
64,165007
65,796025
66,182028
67,848013
68,845020
69,42013
70,882005
71,884017
72,870016
73,532011
74,821014
75,768001
76,850011
77,114015
78,775011
79,529006
80,201009
81,930012
82,100017
83,847014
84,851014
85,812018
86,756018
87,161003
88,845004
89,832012
90,821012
91,769004
92,930002
93,819001
94,550007
95,502012
96,822012
97,746005
98,702008
99,812018
100,813012
101,294005
102,875015
103,103013
104,775004
105,873001
106,812005
107,805010
108,849001
109,875001
110,876005
111,874017
112,13010
113,126008
114,801001
115,842004
116,4022
117,517013
118,774038
119,838011
120,148011
121,526021
122,44013
123,220029
124,831004
125,876002
126,99012
127,182047
128,789016
129,872004
130,805002
131,718006
132,752003
133,502003
134,249001
135,109014
136,798002
137,569004
138,782027
139,886026
140,631032
141,856011
142,51002
143,835009
144,796017
145,532010
146,538023
147,74007
148,832024
149,38010
150,243016
151,853002
152,128010
153,134021
154,217003
155,838003
156,741001
157,513003
158,123026
159,753005
160,784007
161,15023
162,117003
163,801013
164,832012
165,109007
166,570034
167,123001
168,13001
169,789004
170,744003
171,42001
172,74007
173,552008
174,102003
175,13010
176,764027
177,122031
178,217023
179,167003
180,167003
181,243022
182,134039
183,3011
184,132025
185,500011
186,775030
187,886026
188,773005
189,857013
190,66009
191,42007
192,849002
193,746003
194,862001
195,98006
196,841018
197,862031
198,517010
199,791004
200,232010
201,167013
202,743005
203,767002
204,524023
205,791002
206,826001
207,740011
208,229032
209,219022
210,227017
211,720025
212,753016
213,103013
214,774001
215,781002
216,843003
217,801012
218,791004
219,886007
220,74013
221,781003
222,828008
223,835001
224,866004
225,835001
226,741007
227,201005
228,844009
229,122003
230,784002
231,764023
232,201001
233,885002
234,851004
235,42010
236,167013
237,799006
238,887012
239,849017
240,231011
241,633019
242,74016
243,831010
244,863029
245,767005
246,294018
247,778016
248,227013
249,799012
250,863010
251,702011
252,659012
253,299058
254,201004
255,752011
256,867015
257,842005
258,805005
259,122001
260,791008
261,782027
262,98010
263,778011
264,554017
265,227008
266,864007
267,824003
268,201012
269,848007
270,634005
271,836004
272,776007
273,182005
274,798013
275,184024
276,838011
277,172018
278,747005
279,31009
280,872007
281,863019
282,838003
283,826007
284,217016
285,286026
286,842006
287,862031
288,776007
289,770004
290,704002
291,813005
292,286034
293,227026
294,603008
295,828007
296,231035
297,121009
298,253007
299,885003
300,876007
301,36011
302,184021
303,852004
304,513019
305,764027
306,148034
307,872004
308,570008
309,824013
310,249004
311,38006
312,886026
313,768005
314,31004
315,870017
316,117029
317,45009
318,117015
319,805013
320,634014
321,837007
322,128010
323,779008
324,834009
325,172022
326,165015
327,835002
328,874010
329,531032
330,45016
331,231037
332,853002
333,795003
334,702026
335,799001
336,789006
337,287006
338,820012
339,531013
340,95025
341,849010
342,781004
343,740007
344,861006
345,662030
346,850017
347,40008
348,828003
349,789017
350,517044
351,508013
352,161018
353,631034
354,812010
355,702019
356,122001
357,787018
358,538038
359,852012
360,219048
361,801013
362,137021
363,828009
364,775013
365,842015
366,516018
367,27039
368,771006
369,792016
370,66010
371,516023
372,219038
373,102017
374,74015
375,770012
376,217015
377,743009
378,127004
379,820012
380,782027
381,502012
382,42011
383,126014
384,849009
385,842014
386,508007
387,137004
388,232041
389,31004
390,102002
391,12014
392,102013
393,873003
394,791011
395,849002
396,813022
397,231032
398,103013
399,662030
400,229025
401,526002
402,45002
403,850012
404,566010
405,859003
406,794032
407,718005
408,812013
409,531020
410,36040
411,859003
412,215015
413,795007
414,219033
415,775034
416,740016
417,109006
418,795001
419,659022
420,102018
421,633004
422,510010
423,500018
424,219022
425,811001
426,517044
427,502003
428,822012
429,44003
430,857004
431,752015
432,299033
433,217012
434,702019
435,787018
436,822004
437,513019
438,121018
439,215008
440,36021
441,821008
442,201008
443,109007
444,537007
445,783002
446,631024
447,718001
448,516011
449,566006
450,836002
451,557002
452,243002
453,39004
454,842014
455,781002
456,718011
457,36013
458,253028
459,57006
460,12002
461,532009
462,27001
463,782001
464,832005
465,789017
466,805012
467,876004
468,824010
469,741010
470,764029
471,886015
472,801001
473,836013
474,231011
475,114007
476,882009
477,787018
478,227019
479,508002
480,249002
481,161040
482,850019
483,44019
484,38010
485,816009
486,103010
487,249009
488,741004
489,11016
490,180007
491,66003
492,845015
493,930012
494,742017
495,836011
496,516015
497,740007
498,165021
499,838009
500,799012
501,836004
502,881008
503,31004
504,66009
505,794018
506,286029
507,286034
508,603008
509,791014
510,720009
511,844016
512,662004
513,603012
514,66004
515,831006
516,770009
517,743008
518,817024
519,886026
520,837001
521,134021
522,881003
523,783017
524,789001
525,770005
526,15023
527,859009
528,99012
529,882008
530,752015
531,508027
532,631029
533,557011
534,875004
535,702005
536,662007
537,11032
538,538023
539,774001
540,876005
541,863029
542,232036
543,859003
544,823029
545,752003
546,826005
547,828002
548,819001
549,23035
550,500019
551,872009
552,783019
553,768007
554,856008
555,39006
556,633004
557,631038
558,820017
559,782023
560,849009
561,753004
562,799013
563,517005
564,873008
565,776010
566,103002
567,603009
568,160001
569,232041
570,857018
571,554028
572,102017
573,27003
574,31001
575,777030
576,121004
577,835005
578,848013
579,513019
580,862025
581,782026
582,778003
583,778043
584,776034
585,853006
586,552022
587,513014
588,767002
589,930012
590,791009
591,184021
592,201001
593,659022
594,858013
595,132018
596,659026
597,779001
598,770006
599,881013
600,160001
601,103012
602,817023
603,884018
604,858008
605,219033
606,811002
607,870007
608,795001
609,23007
610,824015
611,524010
612,771001
613,817031
614,100001
615,777005
616,100003
617,103022
618,74015
619,39018
620,201004
621,820012
622,844016
623,873003
624,775005
625,789002
626,782023
627,215002
628,838003
629,184040
630,44007
631,633004
632,114007
633,662004
634,799012
635,99003
636,45001
637,180004
638,220029
639,172012
640,769001
641,828005
642,844003
643,532017
644,537019
645,832005
646,201012
647,782001
648,770023
649,27001
650,887009
651,287005
652,767006
653,770006
654,873007
655,845020
656,822009
657,40003
658,148012
659,820007
660,787004
661,51027
662,40004
663,811009
664,11009
665,851004
666,718007
667,872003
668,631032
669,40003
670,38007
671,798006
672,853010
673,799010
674,15027
675,789004
676,776024
677,885003
678,537001
679,836014
680,529011
681,634002
682,294013
683,662039
684,103022
685,510012
686,98008
687,930012
688,852009
689,811001
690,776024
691,182001
692,137003
693,875015
694,742017
695,243003
696,886010
697,122001
698,771008
699,102013
700,796005
701,851019
702,102005
703,519027
704,40004
705,662007
706,137003
707,870007
708,740011
709,882005
710,508011
711,796010
712,631024
713,837005
714,215018
715,720009
716,858013
717,126008
718,11009
719,3009
720,753012
721,165010
722,811006
723,872002
724,128010
725,819002
726,123015
727,876015
728,822014
729,232036
730,817022
731,847005
732,832005
733,659022
734,805002
735,863019
736,832002
737,172019
738,849010
739,184035
740,798004
741,161025
742,866014
743,524010
744,861013
745,550015
746,794056
747,770005
748,148012
749,3004
750,36002
751,566021
752,820011
753,569007
754,182001
755,858004
756,743004
757,253007
758,861006
759,744004
760,777006
761,752012
762,132029
763,873003
764,752003
765,884018
766,557001
767,930014
768,874010
769,201008
770,508004
771,741013
772,633005
773,852020
774,570041
775,40009
776,853009
777,631024
778,875015
779,823014
780,832001
781,848013
782,838015
783,128008
784,773006
785,743002
786,172022
787,836001
788,57007
789,44013
790,874006
791,856008
792,217016
793,805010
794,792003
795,742003
796,850011
797,27039
798,819010
799,148019
800,569010
801,3004
802,782018
803,836002
804,858021
805,160008
806,741001
807,531026
808,112006
809,126014
810,816014
811,39011
812,845001
813,843007
814,287014
815,12041
816,769017
817,112012
818,824006
819,851008
820,881005
821,864011
822,841012
823,718001
824,132014
825,875004
826,180002
827,870016
828,752025
829,15027
830,180002
831,884015
832,702008
833,180009
834,847007
835,31002
836,44028
837,127004
838,851019
839,36021
840,126011
841,167020
842,847011
843,12041
844,851020
845,844009
846,798002
847,253003
848,117009
849,95002
850,743005
851,858004
852,883001
853,883009
854,863010
855,795002
856,519009
857,631034
858,184019
859,787003
860,132031
861,791004
862,834005
863,180012
864,819002
865,845016
866,294022
867,103003
868,95008
869,796002
870,857018
871,824003
872,845004
873,882007
874,182030
875,172031
876,769018
877,776007
878,850021
879,253015
880,828001
881,662040
882,776007
883,220002
884,741013
885,845004
886,532011
887,40011
888,753008
889,132029
890,161049
891,867018
892,861014
893,826001
894,816012
895,659012
896,862005
897,27039
898,172012
899,286029
900,795015
901,843009
902,771006
903,849001
904,45016
905,217012
906,180003
907,813012
908,500019
909,531013
910,114016
911,857030
912,862005
913,31012
914,502012
915,112012
916,798011
917,232017
918,704009
919,799010
920,799010
921,795002
922,875006
923,853002
924,838009
925,828002
926,849006
927,777030
928,886004
929,219038
930,659005
931,742010
932,132009
933,828004
934,930018
935,881008
936,112009
937,702005
938,834011
939,502012
940,874006
941,634004
942,740016
943,778043
944,148009
945,811010
946,232057
947,885003
948,837009
949,11009
950,775004
951,294019
952,870001
953,850021
954,502011
955,633014
956,45019
957,227031
958,805005
959,286026
960,854018
961,160001
962,855004
963,836013
964,13004
965,40011
966,756007
967,832019
968,513014
969,851004
970,160003
971,836001
972,744003
973,813001
974,39013
975,787024
976,112016
977,134004
978,779005
979,569010
980,853003
981,227017
