no,subjectno_
1,128013
2,532024
3,117029
4,789006
5,857030
6,510029
7,791003
8,102007
9,812010
10,795006
11,42012
12,887005
13,767006
14,134042
15,12041
16,789002
17,768022
18,854021
19,148004
20,57010
21,42010
22,160008
23,3009
24,744004
25,792027
26,182030
27,816024
28,44003
29,39023
30,502033
31,23027
32,872007
33,857003
34,704016
35,838013
36,99002
37,831006
38,831003
39,740003
40,148012
41,201011
42,99012
43,779008
44,816016
45,220029
46,849017
47,249001
48,249008
49,569008
50,811004
51,253007
52,502015
53,816015
54,831002
55,782008
56,134004
57,631045
58,817020
59,98017
60,502015
61,752021
62,791014
63,103013
64,875003
65,3009
66,516018
67,634001
68,774038
69,524014
70,219012
71,117028
72,40006
73,128012
74,180012
75,867015
76,45002
77,740002
78,217023
79,883001
80,774001
81,516015
82,744003
83,781005
84,836002
85,217015
86,857003
87,519027
88,243022
89,229012
90,856007
91,864007
92,841017
93,873003
94,746008
95,299017
96,23031
97,795007
98,930002
99,569008
100,874017
101,114002
102,773005
103,883010
104,165015
105,122027
106,517024
107,849002
108,870017
109,215017
110,778010
111,822002
112,876006
113,184003
114,201001
115,524023
116,201012
117,122027
118,603002
119,127004
120,165015
121,743009
122,848027
123,517038
124,286007
125,850021
126,783016
127,742015
128,883006
129,824015
130,500024
131,172008
132,3004
133,550006
134,161003
135,11006
136,885014
137,217001
138,220029
139,299047
140,782006
141,887010
142,287013
143,784004
144,123028
145,866002
146,27029
147,550001
148,659012
149,778002
150,603020
151,570007
152,776022
153,768018
154,510012
155,811006
156,799013
157,873007
158,824010
159,662004
160,819011
161,883006
162,845018
163,232017
164,570034
165,756007
166,45009
167,12054
168,182008
169,180009
170,777024
171,253002
172,51006
173,789004
174,249007
175,753007
176,227035
177,100007
178,231035
179,866006
180,111016
181,4024
182,201012
183,231006
184,3004
185,870020
186,229032
187,887012
188,517038
189,66002
190,836001
191,777006
192,98017
193,99003
194,253003
195,862016
196,526001
197,859006
198,217019
199,38007
200,774047
201,570007
202,4003
203,569003
204,795004
205,753016
206,299017
207,746012
208,11009
209,872003
210,603009
211,834010
212,102007
213,39004
214,774001
215,550014
216,783013
217,764029
218,217023
219,832007
220,823014
221,769018
222,855003
223,554018
224,720009
225,165041
226,111016
227,57003
228,867018
229,853003
230,741010
231,180004
232,817031
233,764027
234,137004
235,843001
