no,subjectno_
1,659001
2,867018
3,778011
4,12029
5,111012
6,114010
7,812006
8,114010
9,812013
10,776024
11,805013
12,796017
13,864011
14,42013
15,741004
16,659005
17,45010
18,519013
19,532009
20,66009
21,792027
22,820001
23,746001
24,828003
25,537006
26,779008
27,201012
28,286005
29,801012
30,513005
31,148034
32,837010
33,36011
34,787002
35,835003
36,39004
37,770015
38,128007
39,812024
40,3015
41,552040
42,776018
43,219033
44,843009
45,215006
46,796010
47,777024
48,243001
49,743004
50,249004
51,773001
52,843003
53,102003
54,529001
55,215002
56,102002
57,557011
58,134004
59,747004
60,294005
61,798007
62,137002
63,3008
64,51009
65,832007
66,12002
67,720009
68,720029
69,57006
70,718001
71,95028
72,770011
73,123006
74,773001
75,851010
76,856004
77,882002
78,500016
79,764003
80,835007
81,42013
82,100001
83,3014
84,117009
85,783019
86,51002
87,764027
88,805005
89,38002
90,870007
91,718007
92,779006
93,885021
94,570006
95,15030
96,870010
97,121007
98,633007
99,508007
100,516023
101,844015
102,870001
103,811010
104,789001
105,11010
106,816010
107,873003
108,787018
109,801003
110,554008
111,836013
112,779006
113,510007
114,843005
115,856009
116,885003
117,773003
118,778010
119,799001
120,841016
121,795015
122,74008
123,513001
124,864013
125,870001
126,109025
127,23039
128,824013
129,859005
130,794035
131,526002
132,38005
133,886015
134,102013
135,137021
136,500022
137,109014
138,502015
139,777001
140,792004
141,180002
142,229027
143,828005
144,837010
145,801016
146,883010
147,538020
148,887005
149,742011
150,821001
151,253002
152,128012
153,103002
154,184040
155,702005
156,834021
157,702008
158,744006
159,783019
160,784003
161,885018
162,31004
163,531026
164,886004
165,500019
166,779011
167,100016
168,747005
169,3011
170,796009
171,718007
172,847014
173,852002
174,834011
175,13001
176,842015
177,875003
178,824001
179,122031
180,126008
181,3009
182,930018
183,796002
184,180009
185,857018
186,801019
187,743003
188,123008
189,828005
190,557010
191,870001
192,219038
193,787002
194,820014
195,227019
196,537007
197,500019
198,886026
199,770005
200,795001
201,720004
202,752024
203,769017
204,930014
205,184003
206,45002
207,875024
208,874015
209,832016
210,217006
211,861012
212,500024
213,851008
214,821006
215,881002
216,526035
217,603020
218,844016
219,812024
220,812015
221,776022
222,3004
223,566009
224,227008
225,215002
226,850017
227,148005
228,817009
229,172019
230,841012
231,875015
232,826005
233,834005
234,227031
235,851019
236,845025
237,165010
238,160001
239,121008
240,769001
241,796010
242,828009
243,40006
244,862025
245,114012
246,111011
247,768001
248,870008
249,532010
250,841016
251,40003
252,137006
253,513021
254,862009
255,844014
256,42012
257,812003
258,798002
259,767003
260,513021
261,98006
262,659026
263,4022
264,127008
265,857013
266,873008
267,794021
268,835005
269,111009
270,752017
271,100001
272,12041
273,794018
274,930002
275,771010
276,819015
277,834009
278,816024
279,184003
280,232017
281,12029
282,775034
283,789019
284,137006
285,631045
286,508027
287,838011
288,831001
289,201011
290,778011
291,500016
292,128010
293,805013
294,122001
295,792005
296,870002
297,704016
298,779008
299,881013
300,121004
301,44007
302,121013
303,812024
304,500012
305,817023
306,550006
307,872002
308,134015
309,799009
310,502011
311,781003
312,502004
313,792005
314,38010
315,45009
316,768002
317,823012
318,524011
319,742001
320,835002
321,40008
322,500019
323,57009
324,887004
325,850016
326,99002
327,826012
328,872003
329,805004
330,779001
331,513021
332,45001
333,812003
334,876005
335,744001
336,148005
337,510025
338,160003
339,795001
340,743005
341,845016
342,40001
343,31014
344,102003
345,27003
346,873012
347,795006
348,286005
349,874017
350,884014
351,742003
352,769011
353,95003
354,838013
355,813001
356,821014
357,517044
358,554010
359,287005
360,531026
361,816010
362,13003
363,165022
364,634017
365,805005
366,165023
367,773018
368,746012
369,823012
370,794014
371,243015
372,167021
373,796011
374,39018
375,831012
376,848021
377,876002
378,773005
379,253017
380,111004
381,792006
382,838015
383,841018
384,882011
385,99013
386,813001
387,552008
388,566009
389,201008
390,861005
391,112037
392,789004
393,768018
394,219038
395,837004
396,820005
397,742001
398,774048
399,796002
400,526022
401,702035
402,117026
403,102005
404,798009
405,121018
406,842014
407,517013
408,799010
409,510026
410,634005
411,769002
412,775030
413,23039
414,513019
415,847016
416,796002
417,819010
418,13013
419,500018
420,557002
421,662007
422,11008
423,770009
424,102003
425,557001
426,875020
427,718011
428,813011
429,243016
430,855003
431,857012
432,779008
433,532009
434,812015
435,180012
436,702007
437,752017
438,531013
439,836011
440,753007
441,789018
442,843009
443,148011
444,27039
445,862023
446,550013
447,795001
448,821014
449,161052
450,740010
451,112016
452,756016
453,634001
454,805005
455,201008
456,855004
457,874015
458,662030
459,870002
460,828001
461,801012
462,801003
463,532009
464,529006
465,121004
466,227019
467,95025
468,781005
469,633004
470,4003
471,112037
472,109007
473,851010
474,172012
475,12037
476,872007
477,132009
478,704014
479,832016
480,39018
481,232049
482,45009
483,816014
484,132009
485,182025
486,820011
487,219012
488,740003
489,886026
490,286005
491,98011
492,769005
493,109018
494,852001
495,930002
496,57010
497,778002
498,874006
499,782028
500,631022
501,771003
502,112016
503,849009
504,554008
505,753014
506,848021
507,874021
508,792016
509,66006
510,861011
511,45009
512,836003
513,832002
514,767005
515,836003
516,837011
517,98017
518,870001
519,820001
520,859001
521,219022
522,817009
523,870010
524,603015
525,743005
526,769010
527,100011
528,773020
529,531005
530,756014
531,857026
532,756014
533,57010
534,134039
535,532017
536,770023
537,847017
538,229025
539,768015
540,720029
541,45002
542,870002
543,720029
544,126009
545,854009
546,812018
547,769018
548,45012
549,801012
550,148013
551,123006
552,850011
553,805013
554,633004
555,633009
556,552001
557,798006
558,122021
559,229024
560,805009
561,109025
562,883008
563,128010
564,767011
565,863010
566,4013
567,508027
568,182047
569,11016
570,128012
571,768022
572,167020
573,570041
574,117009
575,886011
576,775030
577,11012
578,557014
579,552043
580,783019
581,517047
582,137002
583,767005
584,42001
585,789001
586,777024
587,859010
588,764023
589,160005
590,842014
591,121004
592,842008
593,794018
594,867017
595,883018
596,532020
597,184024
598,819002
599,798006
600,781019
601,813012
602,287017
603,132014
604,743001
605,770012
606,850012
607,831007
608,853002
609,109011
610,789001
611,631034
612,570017
613,500012
614,812018
615,849009
616,4011
617,42001
618,217016
619,768018
620,66003
621,876002
622,634003
623,805005
624,845004
